number,values_0,values_1,values_2,datetime_start,datetime_complete,duration,params_learning_rate,params_model_name,params_norm,params_train_batch_size,params_training_loss,params_weight_decay,state
81,1.0751242049825702,1.525392886606587,1.2631414777448506,2023-05-31 01:52:09.679306,2023-05-31 01:59:01.389767,0 days 00:06:51.710461,0.006583977767849602,pspnet,minmax,59,xtanh,2.648961371411233e-07,COMPLETE
82,1.0359254557166604,1.1757096270393002,1.183787434182177,2023-05-31 01:57:09.637959,2023-05-31 02:12:55.423448,0 days 00:15:45.785489,1.852129245411683e-05,manet,minmax,76,xsigmoid,1.0150948162844007e-09,COMPLETE
83,1.0610381870463488,1.4407384546146909,1.3538886144773032,2023-05-31 01:59:01.694922,2023-05-31 02:18:36.970486,0 days 00:19:35.275564,7.956133989952879e-05,linknet,minmax,82,smooth,1.968006717900019e-05,COMPLETE
84,1.027861827830531,1.528264843568554,1.2891267711859749,2023-05-31 02:12:55.561821,2023-05-31 02:21:42.563879,0 days 00:08:47.002058,0.00016586604113801758,fpn,minmax,15,smooth,4.865733864219255e-11,COMPLETE
85,1.1505982260016037,3.689958144953156,2.0957341799507043,2023-05-31 02:19:32.886563,2023-05-31 02:26:18.604436,0 days 00:06:45.717873,0.0003946773286857703,fpn,zscore,23,xsigmoid,8.009559198975481e-10,COMPLETE
86,1.1020252373728798,3.583485607618118,2.037434282316383,2023-05-31 02:21:43.002772,2023-05-31 02:30:13.128640,0 days 00:08:30.125868,0.003969331220138575,manet,zscore,87,smooth,3.7985900641744e-07,COMPLETE
87,1.2287062315584885,5.139516670876505,2.636573544963071,2023-05-31 02:26:18.839676,2023-05-31 02:33:18.783693,0 days 00:06:59.944017,2.6543805846519704e-06,deeplabv3,zscore,37,mae,3.1312708182079855e-10,COMPLETE
88,1.0593434756530726,4.894882295770275,2.5751581640745873,2023-05-31 02:31:02.918800,2023-05-31 03:06:59.349861,0 days 00:35:56.431061,1.0586362473765991e-06,unet++,zscore,20,huber,8.137840406239931e-10,COMPLETE
89,0.992467607979988,0.869565978072681,0.8781121169822286,2023-05-31 02:33:18.914228,2023-05-31 02:45:59.915371,0 days 00:12:41.001143,0.0003508227442225313,unet++,negone,6,smooth,1.3609153490521479e-06,COMPLETE
90,1.0511877996863952,2.6585815188749806,1.8591777074944025,2023-05-31 02:46:00.025848,2023-05-31 03:05:56.780340,0 days 00:19:56.754492,6.425013353453088e-05,fpn,minmax,122,huber,1.09473998979853e-08,COMPLETE
91,1.0809495376537852,4.232301183609549,2.337707759813898,2023-05-31 03:05:56.909221,2023-05-31 03:10:08.743833,0 days 00:04:11.834612,0.0013676710199540638,linknet,zscore,118,xtanh,2.7881897975664305e-12,COMPLETE
92,1.0172078920849001,0.9758008403340231,0.9442760705633421,2023-05-31 03:06:59.491267,2023-05-31 03:14:16.846478,0 days 00:07:17.355211,0.0009317098777839183,deeplabv3+,minmax,100,mse,8.439996815851246e-07,COMPLETE
93,1.1962558881605625,3.824883305027977,2.190630276032795,2023-05-31 03:10:08.877772,2023-05-31 03:17:44.859692,0 days 00:07:35.981920,0.0016696220841575834,deeplabv3,zscore,55,logcosh,9.617924557537815e-12,COMPLETE
94,1.0139112044391052,1.0524976401195218,1.1568781377350035,2023-05-31 03:14:17.091065,2023-05-31 03:35:53.102406,0 days 00:21:36.011341,1.606113688000892e-06,unet,minmax,4,xtanh,1.2976238273274063e-09,COMPLETE
95,0.9914558933978521,0.8949943051694004,0.9167611816386357,2023-05-31 03:17:45.020029,2023-05-31 03:26:30.495862,0 days 00:08:45.475833,0.0016407106434980878,unet,negone,5,mae,3.9165563580021015e-08,COMPLETE
96,1.9603529314938746,6.895757868774827,3.033741776940351,2023-05-31 03:26:30.714935,2023-05-31 03:50:50.203928,0 days 00:24:19.488993,4.230320004691067e-05,linknet,minmax,124,mse,2.712562718153424e-08,COMPLETE
97,1.1035535403034349,1.8362119924077909,1.4274816278410485,2023-05-31 03:35:53.261378,2023-05-31 04:00:13.336473,0 days 00:24:20.075095,1.4728282439801808e-06,pspnet,minmax,42,mae,4.8910419338314606e-05,COMPLETE
98,1.011860937319177,1.772796084697466,1.480017504942055,2023-05-31 03:51:56.948037,2023-05-31 03:58:55.598168,0 days 00:06:58.650131,5.474640296383836e-05,manet,negone,19,huber,3.709145271220513e-05,COMPLETE
99,1.2019696091043963,3.9426325277478336,1.9491568177675223,2023-05-31 03:58:55.719730,2023-05-31 04:09:18.814366,0 days 00:10:23.094636,6.20863396957602e-06,deeplabv3,minmax,53,xsigmoid,0.0004059839081280171,COMPLETE
100,1.2754297900041822,7.736859371559684,3.485277274852301,2023-05-31 04:00:37.689022,2023-05-31 04:37:59.589068,0 days 00:37:21.900046,1.8349667290697234e-06,unet,negone,119,logcosh,2.650425196286833e-10,COMPLETE
