,trial,learning_rate,norm,weight_decay,train_batch_size,training_loss,model_name,epoch,train_loss,train_corr,valid_mae,valid_corr,valid_perc,valid_rmse,valid_ssim,lr,pruned
38,43,0.00013121518501238102,zscore,0.00020657381451130377,20,mae,manet,1,0.1350806003267115,0.8751657523892142,0.3926113322377205,0.8447838425636292,0.24854635447263718,0.3272139746695757,-10.0,0.00013121518501238102,0
39,44,5.231989214707995e-05,negone,1.7354579889518767e-12,253,xsigmoid,unet++,1,0.02905941630403201,0.6292781432469686,0.2152601070702076,0.29844778776168823,0.1158124003559351,0.07859421335160732,-10.0,5.231989214707995e-05,0
40,45,4.14234694685688e-05,minmax,0.0001483321196931346,12,smooth,linknet,1,0.015647275092667095,0.40947503872113683,0.11596936732530594,0.4600803777575493,0.2314697578549385,0.0209695550147444,0.14697088301181793,4.14234694685688e-05,0
41,46,2.725185328091363e-05,minmax,2.9234175706553977e-08,67,logcosh,pspnet,0,0.01623318774195818,0.563837645145563,0.18418805673718452,-0.30501532554626465,0.03182349540293217,0.04689901927486062,0.6703505218029022,2.725185328091363e-05,0
42,47,0.00018498477516070815,zscore,6.939669442459739e-08,150,logcosh,pspnet,1,0.12125288993120194,0.8049824118614197,0.46895986795425415,0.7711560279130936,0.3698898106813431,0.38034165650606155,-10.0,0.00018498477516070815,0
43,48,7.45768674487039e-06,negone,5.994076791768628e-11,224,xsigmoid,unet++,0,0.05035079394777616,0.10472283512353897,0.23440167680382729,-0.001204115804284811,0.09994450211524963,0.09217595914378762,-10.0,7.45768674487039e-06,0
44,49,0.00041110606285437237,zscore,1.1661368327223663e-05,179,xtanh,linknet,1,0.23530473187565804,0.5598243698477745,0.6232149675488472,0.23744441010057926,0.37664956599473953,0.6591524966061115,-10.0,0.00041110606285437237,0
45,51,0.0005997827839485478,zscore,7.164248178434261e-09,225,logcosh,deeplabv3,0,0.20295568803946176,0.5119636735568444,0.6548105925321579,0.5149737149477005,0.39928869903087616,0.7239588387310505,-10.0,0.0005997827839485478,0
46,52,6.908178758783724e-05,minmax,1.643102166000259e-11,28,mse,unet,1,0.012200231063029459,0.7088510067232193,0.1123549323529005,0.7481568455696106,0.10753772221505642,0.017129885498434305,0.49051396548748016,6.908178758783724e-05,0
47,53,3.7352542690272255e-05,zscore,0.00014767002759407218,50,mse,unet,1,0.18717479793464437,0.7323338073842666,0.5340849235653877,0.6713758409023285,0.3138751685619354,0.5116104073822498,-10.0,3.7352542690272255e-05,0
48,54,1.4235529766682574e-06,negone,1.9245814088076856e-09,215,mse,manet,0,0.04880447871983051,0.15709707513451576,0.22344772517681122,0.06921791145578027,0.13103295490145683,0.08154688309878111,-10.0,1.4235529766682574e-06,0
