number,values_0,values_1,values_2,datetime_start,datetime_complete,duration,params_learning_rate,params_model_name,params_norm,params_train_batch_size,params_training_loss,params_weight_decay,state
38,18050.889038372017,12104.251370768174,162.65418869783036,2023-05-15 19:03:09.159606,2023-05-15 19:05:58.836111,0 days 00:02:49.676505,0.0005665905047332262,manet,None,78,smooth,4.877369984246433e-05,COMPLETE
39,1.1105387378833038,3.4091678133595154,2.078839565947849,2023-05-15 19:05:58.923683,2023-05-15 19:18:54.433230,0 days 00:12:55.509547,1.1731818124007618e-05,fpn,minmax,31,logcosh,5.702072442476775e-10,COMPLETE
40,2.409571898758573,7.655745030474821,3.399959706814905,2023-05-15 19:14:06.414392,2023-05-15 19:18:36.800734,0 days 00:04:30.386342,1.7343344382636848e-06,deeplabv3+,minmax,116,huber,0.0007200673643747292,COMPLETE
41,1.045171891883634,1.8484210096671412,1.4906826168236962,2023-05-15 19:18:36.892548,2023-05-15 19:25:32.632937,0 days 00:06:55.740389,0.0006372821117275482,fpn,minmax,53,smooth,2.2147949347932095e-06,COMPLETE
42,0.9590280200026785,0.3704726159894607,0.6598440966476293,2023-05-15 19:18:54.503355,2023-05-15 19:29:19.958320,0 days 00:10:25.454965,0.006797499063019266,manet,minmax,10,xsigmoid,1.204106282390783e-07,COMPLETE
43,1.094857255722744,3.5994022757021917,2.053852159086515,2023-05-15 19:25:32.862684,2023-05-15 19:30:05.110759,0 days 00:04:32.248075,0.0029056254675701733,unet++,zscore,10,huber,0.00033643869608264687,COMPLETE
44,13.16503851893701,12137.365944200452,162.87918321189815,2023-05-15 19:29:20.069134,2023-05-15 19:32:10.172231,0 days 00:02:50.103097,0.0009757379726010104,manet,None,121,xtanh,1.1099984714746179e-12,COMPLETE
45,26.20750486136065,84.24837430962802,13.046016287314787,2023-05-15 19:30:05.288763,2023-05-15 19:33:02.128657,0 days 00:02:56.839894,0.0036893204518289105,fpn,minmax,28,huber,5.958163674363907e-12,COMPLETE
46,1.084250167892818,4.037665008056669,2.2554802517785797,2023-05-15 19:32:10.352690,2023-05-15 19:40:31.220910,0 days 00:08:20.868220,0.00029748501296783525,linknet,zscore,118,logcosh,8.803754277025888e-11,COMPLETE
47,1.0973052775930974,5.275174324051251,2.873962814187109,2023-05-15 19:33:02.292312,2023-05-15 20:07:36.171608,0 days 00:34:33.879296,6.6862248281764474e-06,manet,negone,111,mae,4.6560294443688446e-10,COMPLETE
48,21.84833527470463,12066.747001627287,162.40430423886872,2023-05-15 19:40:31.333122,2023-05-15 19:43:45.371730,0 days 00:03:14.038608,0.000326494975457569,unet++,None,36,xsigmoid,7.2441380178985605e-06,COMPLETE
49,0.9634325526488088,0.4165428600514837,0.7005477145020049,2023-05-15 19:43:45.448890,2023-05-15 20:14:32.066564,0 days 00:30:46.617674,0.009203576048928748,linknet,minmax,128,mse,2.1258186307930386e-05,COMPLETE
50,0.9982265818717877,0.8244318542044766,1.0109084225913685,2023-05-15 20:08:32.552372,2023-05-15 20:14:37.519264,0 days 00:06:04.966892,7.541371480536176e-05,unet,minmax,42,mse,9.52120071407864e-08,COMPLETE
51,1.0824125995210478,1.7161436822315546,1.3273882687550003,2023-05-15 20:14:37.637008,2023-05-15 20:23:24.258768,0 days 00:08:46.621760,0.00014363624958655213,deeplabv3,negone,27,xsigmoid,7.945693383151309e-10,COMPLETE
52,1.0776803346595227,1.5085231150526177,1.2837859430742165,2023-05-15 20:14:58.553829,2023-05-15 20:36:20.641916,0 days 00:21:22.088087,1.8094704719381707e-05,fpn,negone,38,xsigmoid,7.173997046798131e-08,COMPLETE
53,1.1727616791656996,4.128925798351751,2.27442205443955,2023-05-15 20:23:24.355205,2023-05-15 20:31:17.665105,0 days 00:07:53.309900,6.836487571764075e-05,deeplabv3,zscore,94,smooth,6.191710698097796e-05,COMPLETE
54,1.1563280997737841,5.5351208365990665,2.7653113804234466,2023-05-15 20:31:17.777749,2023-05-15 20:35:29.048857,0 days 00:04:11.271108,4.129444767791241e-05,deeplabv3+,zscore,74,smooth,7.089118767899794e-05,COMPLETE
55,14.237814947043931,18.110673113439198,5.291405474507604,2023-05-15 20:35:29.135498,2023-05-15 20:38:16.741564,0 days 00:02:47.606066,4.735029692918727e-06,linknet,minmax,100,xtanh,7.61959816710682e-06,COMPLETE
56,1.0620855065882069,1.4216948546289343,1.2338801324019182,2023-05-15 20:36:20.759861,2023-05-15 20:45:07.693548,0 days 00:08:46.933687,0.0001844841742509137,deeplabv3,minmax,60,smooth,4.549818706312426e-07,COMPLETE
57,0.971446613017617,0.5066323684130042,0.7854787589251356,2023-05-15 20:38:16.832133,2023-05-15 20:53:02.543561,0 days 00:14:45.711428,3.341895100364569e-05,unet++,minmax,57,logcosh,1.4249034335311785e-11,COMPLETE
58,0.9992654357272517,0.9333332168358807,0.9321860129657432,2023-05-15 20:45:07.797676,2023-05-15 21:00:46.091790,0 days 00:15:38.294114,0.004650173103552172,manet,negone,85,mse,1.3736603528052226e-07,COMPLETE
59,0.9995704148461297,2.586160751073394,1.922922966005491,2023-05-15 20:53:02.665562,2023-05-15 21:09:03.869233,0 days 00:16:01.203671,7.509659978052965e-05,unet++,negone,120,mse,9.338368093497487e-11,COMPLETE
60,0.9934460669953492,0.8849830965705073,0.8963906658093451,2023-05-15 21:00:46.203354,2023-05-15 21:10:13.511699,0 days 00:09:27.308345,0.0021872276593804503,unet++,negone,40,logcosh,0.00019632547770132675,COMPLETE
61,18.35194571507617,12100.127938445108,162.62888218482112,2023-05-15 21:09:03.967963,2023-05-15 21:12:06.996039,0 days 00:03:03.028076,2.961938364893448e-06,deeplabv3+,None,30,huber,2.451316329097341e-05,COMPLETE
62,1.1707834599858302,2.695742718491639,1.7083741863140305,2023-05-15 21:10:13.608326,2023-05-15 21:41:37.895647,0 days 00:31:24.287321,2.499727708676736e-06,manet,minmax,65,xtanh,1.084592485543726e-06,COMPLETE
63,61.27643371451215,12085.128675306234,162.52786875609297,2023-05-15 21:12:07.091722,2023-05-15 21:15:57.363248,0 days 00:03:50.271526,2.1289987851043295e-05,unet,None,15,xsigmoid,2.9923409986845876e-05,COMPLETE
64,3.898538629251683,12094.352013101101,162.59026284912454,2023-05-15 21:15:57.495223,2023-05-15 21:18:24.101192,0 days 00:02:26.605969,8.531765456229314e-06,pspnet,None,53,xsigmoid,0.00038124278555552276,COMPLETE
65,1.0805271287527263,1.6230496133316203,1.271136931710552,2023-05-15 21:18:24.180059,2023-05-15 21:34:15.672582,0 days 00:15:51.492523,0.0014390542200185777,deeplabv3,negone,115,mae,5.079650090380997e-07,COMPLETE
66,226.95965384573736,12061.516225641763,162.36866596874782,2023-05-15 21:34:39.184745,2023-05-15 21:38:40.861337,0 days 00:04:01.676592,0.004872609263480489,linknet,None,52,huber,2.904342019695146e-10,COMPLETE
67,1.026951111568164,1.262493899147706,1.179970288539674,2023-05-15 21:38:40.967771,2023-05-15 21:49:36.281747,0 days 00:10:55.313976,0.0001325571211848526,fpn,minmax,13,mae,9.06479978525904e-10,COMPLETE
68,1.0866644277555018,1.902237330772186,1.4628371283946486,2023-05-15 21:42:02.117667,2023-05-15 21:52:23.305898,0 days 00:10:21.188231,1.0234651855809308e-05,deeplabv3,minmax,10,logcosh,4.3321024794264956e-05,COMPLETE
69,1.0421229387927633,1.272362903657182,1.1045847698353881,2023-05-15 21:49:36.427510,2023-05-15 21:59:30.328940,0 days 00:09:53.901430,0.0017728644242675962,fpn,negone,15,smooth,1.954842764313202e-12,COMPLETE
70,1.127817645207545,4.371476690691389,2.416927698776109,2023-05-15 21:52:23.465287,2023-05-15 22:08:42.643595,0 days 00:16:19.178308,1.4737855820929227e-05,fpn,minmax,98,mse,1.418174317161037e-08,COMPLETE
71,0.9623702935971195,0.4028605921442006,0.6932825707354546,2023-05-15 21:59:30.428274,2023-05-15 22:11:57.854486,0 days 00:12:27.426212,0.0005243032610041411,linknet,minmax,36,smooth,1.3569791254567176e-09,COMPLETE
72,1.0714470181714142,1.5329553117315335,1.2479300895998606,2023-05-15 22:08:42.777850,2023-05-15 22:16:03.561507,0 days 00:07:20.783657,5.5512193621753565e-05,deeplabv3,minmax,45,smooth,5.790376962241808e-09,COMPLETE
73,4.71167324727965,12070.941791603529,162.43276538750175,2023-05-15 22:11:58.043607,2023-05-15 22:15:01.796945,0 days 00:03:03.753338,1.1691567973779505e-05,fpn,None,100,mse,6.895677297444062e-05,COMPLETE
74,9.139885572113887,13.14415146364382,4.488502816606152,2023-05-15 22:15:01.901035,2023-05-15 22:18:13.174356,0 days 00:03:11.273321,1.260857603935773e-06,linknet,negone,58,xsigmoid,4.506159670631628e-08,COMPLETE
75,26.896062931867547,12056.507611742445,162.33530580550791,2023-05-15 22:16:03.701662,2023-05-15 22:18:54.853644,0 days 00:02:51.151982,0.0009782784324788385,fpn,None,53,xtanh,4.821275764196279e-12,COMPLETE
76,1.0852163207730339,1.8288438232762836,1.392896936341758,2023-05-15 22:18:13.305742,2023-05-15 22:26:50.666538,0 days 00:08:37.360796,0.00019383811480329274,deeplabv3,negone,72,logcosh,2.7741099632828576e-10,COMPLETE
77,0.9629209390642203,0.4103080146331468,0.6905006562840991,2023-05-15 22:18:54.952763,2023-05-15 22:50:55.592469,0 days 00:32:00.639706,0.001543829646653862,unet,minmax,113,logcosh,3.225840810069256e-06,COMPLETE
78,2.4036497535323638,12101.238459978764,162.63636305389312,2023-05-15 22:26:50.822849,2023-05-15 22:29:16.134218,0 days 00:02:25.311369,0.0002117026263908324,deeplabv3+,None,90,xsigmoid,6.752415201465598e-10,COMPLETE
79,1.2011408570689115,3.834856891839889,2.191821163739874,2023-05-15 22:29:16.249283,2023-05-15 22:37:56.170314,0 days 00:08:39.921031,0.009370265556753596,pspnet,zscore,115,huber,6.130607547006741e-06,COMPLETE
80,1.1954199271243358,3.8093753299369464,2.1816529309993924,2023-05-15 22:37:56.381057,2023-05-15 22:44:06.161258,0 days 00:06:09.780201,0.003715363789441839,pspnet,zscore,48,xtanh,5.025754217386805e-09,COMPLETE
81,1.1898569264361054,4.243614869358704,2.097893475791711,2023-05-15 22:44:06.427137,2023-05-15 22:53:03.061610,0 days 00:08:56.634473,6.671854689730093e-06,deeplabv3,minmax,82,logcosh,1.2819747667737204e-11,COMPLETE
82,1.2950798694431258,3.226795907537123,2.1009752904658647,2023-05-15 22:50:55.767194,2023-05-15 23:06:50.600000,0 days 00:15:54.832806,3.278099906653877e-06,fpn,negone,62,xtanh,1.0760786862749657e-06,COMPLETE
