,Unnamed: 0,trial,learning_rate,norm,weight_decay,train_batch_size,training_loss,model_name,epoch,train_loss,train_corr,tcesm_corr,train_custom,valid_loss,valid_corr,vcesm_corr,valid_custom,valid_perc,valid_rmse,valid_mae,valid_ssim,valid_cesm_perc,valid_cesm_rmse,valid_cesm_mae,valid_cesm_ssim,valid_custom_second,valid_custom_third,evals_loss,evals_corr,ecesm_corr,evals_custom,evals_perc,evals_rmse,evals_mae,evals_ssim,evals_cesm_perc,evals_cesm_rmse,evals_cesm_mae,evals_cesm_ssim,evals_custom_second,evals_custom_third,lr
6,6,20,0.0044090587694384,zscore,2.95940885560841e-06,108,xtanh,deeplabv3+,16,0.2864667400717735,0.806235283613205,0.9329860135912896,1.1572130773166385,0.2541271783411503,0.8154405355453491,0.929741144180298,1.1401703786512245,0.2612183839082718,0.5735452473163605,0.5582618117332458,-10.0,0.0846777558326721,0.1552853770554065,0.2664693966507911,-10.0,3.6934916744396142,2.095031619953151,0.2722745478153229,0.8079536437988282,0.9367727279663086,1.159438706856745,0.2886965215206146,0.621482926607132,0.5797204732894897,-10.0,0.0747098118066787,0.1297738626599311,0.2470095008611679,-10.0,4.788968393702751,2.346956174836864,0.0044090587694384
0,0,21,0.0023034075773071,zscore,2.2189641521966673e-08,19,mae,deeplabv3+,13,0.2859824445584546,0.8093467341816943,0.9326499843079112,1.1523491044303589,0.2526412904262543,0.8163820207118988,0.929741144180298,1.1388554874953616,0.2476211413741111,0.5695404633879662,0.5554064065217972,-10.0,0.0846777558326721,0.1552853770554065,0.2664693966507911,-10.0,3.667701841524662,2.0843159233390645,0.2716733962297439,0.8093223690986633,0.9367727279663086,1.15747786510533,0.2725423842668533,0.6197692453861237,0.5791891992092133,-10.0,0.0747098118066787,0.1297738626599311,0.2470095008611679,-10.0,4.775763259896269,2.3448053503607844,0.0002303407577307
1,1,22,0.0046688134124922,None,4.8373003391961337e-08,89,mae,fpn,0,284.1485663519965,0.0267164233244127,0.9322852889696756,34.89558754362818,284.9225387573242,0.0354761481285095,0.929741159081459,26.20750019741562,0.1251015439629554,81509.44921875,285.4225387573242,-10.0,0.0013343539321795,6.760618567466736,1.758228361606598,-10.0,12056.507611742443,162.33530580550791,284.3909057617187,0.03452128469944,0.9367727041244508,27.13609045203485,0.12504922747612,81205.9515625,284.8909057617187,-10.0,0.0012691836105659,5.649930572509765,1.629827332496643,-10.0,14372.911404896677,174.79821333300993,0.0046688134124922
2,2,23,3.243206692723839e-05,None,0.0004384422270597,91,huber,pspnet,0,284.49377102322046,0.113268876241313,0.9326288104057312,8.233760600032943,285.1913146972656,0.5926694124937057,0.929741159081459,1.5687348452309964,0.2518213912844658,81662.123046875,285.6913146972656,-10.0,0.0013343539321795,6.760618567466736,1.758228361606598,-10.0,12079.09043114002,162.48817328609832,284.6607666015625,0.5869477152824402,0.9367727041244508,1.5960070713856926,0.2525438010692596,81358.9515625,285.1607666015625,-10.0,0.0012691836105659,5.649930572509765,1.629827332496643,-10.0,14399.991383674544,174.96378967012436,3.243206692723839e-05
3,3,24,0.0028365952354959,negone,3.870820376340573e-06,55,logcosh,unet++,15,0.0047107533173402,0.9253739081323148,0.9327958673238754,1.0080204975808542,0.0037587061524391,0.936528891324997,0.9297411292791368,0.9927522128695282,0.044079368468374,0.0075174123048782,0.0567452199757099,-10.0,0.0634271306917071,0.0082941484870389,0.0615840088576078,-10.0,0.9063513049742884,0.9214278353803504,0.0043296922929584,0.9299951553344726,0.9367727518081664,1.0072877761080985,0.0497617326676845,0.0086593845859169,0.0606861934065818,-10.0,0.0565389417111873,0.0069315201602876,0.0570866122841835,-10.0,1.2492764048395528,1.0630547334719962,0.0028365952354959
4,4,25,0.0001953490738737,minmax,7.943170672947882e-05,104,smooth,manet,38,0.0004587472067214,0.9660106226801872,0.9330496191978456,0.965879253593618,0.0004014712103526,0.967098906636238,0.9297411292791368,0.9613712960476408,0.0027416917146183,0.0008029424207052,0.0208740015514194,0.9219892621040344,0.0401599733158946,0.0020735371217597,0.0307920044288039,0.8299514651298523,0.3872332027621462,0.6779033044011005,0.0004413264570757,0.9647992253303528,0.9367727041244508,0.9709509289911528,0.0032916177529841,0.0008826529141515,0.0218323532491922,0.9194056034088136,0.0388998694717884,0.0017328800400719,0.0285433061420917,0.8308517575263977,0.5093560395068802,0.7648852287996477,1.953490738737587e-05
5,5,26,0.0027569193269758,minmax,7.271017544806836e-09,74,logcosh,pspnet,9,0.0022075292865999,0.8337093754248186,0.933017990805886,1.119116587036657,0.0016176779754459,0.863808810710907,0.9297411292791368,1.0763274439328396,0.1256085261702537,0.0032353559508919,0.0390497287735343,0.6116680353879929,0.0401599733158946,0.0020735371217597,0.0307920044288039,0.8299514651298523,1.56030770654651,1.2681775512153997,0.0015648392960429,0.870697295665741,0.9367727041244508,1.0758879219995603,0.119427341222763,0.0031296785920858,0.0395051285624504,0.61100252866745,0.0388998694717884,0.0017328800400719,0.0285433061420917,0.8308517575263977,1.806056114510947,1.384041791297388,0.0002756919326975
6,6,27,2.6120174161463345e-05,minmax,8.761710225656119e-08,48,xsigmoid,deeplabv3+,24,0.0013379037199128,0.8971656097306145,0.9329204625553555,1.0398531245925453,0.0011363729281583,0.907022625207901,0.9297411292791368,1.0250473399889315,0.0875297356396913,0.0022727458563167,0.0324778724461793,0.7221896350383759,0.0401599733158946,0.0020735371217597,0.0307920044288039,0.8299514651298523,1.096071940293006,1.0547501875453893,0.0011269711190834,0.9118787527084352,0.9367727041244508,1.0272996287522616,0.0823244541883468,0.0022539422381669,0.0327684890478849,0.7300581932067871,0.0388998694717884,0.0017328800400719,0.0285433061420917,0.8308517575263977,1.3006914420189193,1.1480271025633737,2.6120174161463345e-05
7,7,28,3.259860896530748e-05,zscore,5.7463562467015685e-09,98,smooth,unet++,27,0.3458918929100036,0.8958612746662564,0.9327866170141432,1.0412177012134418,0.3089243844151497,0.8910500407218933,0.929741144180298,1.0434219198587975,0.2156164087355137,0.70083849132061,0.6529715061187744,-10.0,0.0846777558326721,0.1552853770554065,0.2664693966507911,-10.0,4.513229156603377,2.450455903476583,0.3305880725383758,0.8889570355415344,0.9367727279663086,1.0537885302810457,0.2517245322465896,0.7605172157287597,0.6772273182868958,-10.0,0.0747098118066787,0.1297738626599311,0.2470095008611679,-10.0,5.860326572244166,2.741705545437835,3.259860896530748e-06
8,8,29,0.0069020081355437,zscore,1.3430497319346132e-05,70,smooth,pspnet,12,0.2968003898859024,0.7699184417724609,0.9327856848637264,1.2115383062085407,0.2626911960542202,0.7757260650396347,0.929741144180298,1.1985431276346166,0.3232444152235985,0.5916740000247955,0.5817129611968994,-10.0,0.0846777558326721,0.1552853770554065,0.2664693966507911,-10.0,3.810236425633841,2.183038534662334,0.2807543098926544,0.7675606369972229,0.9367727279663086,1.2204543625778688,0.3492328286170959,0.6394034326076508,0.6022442579269409,-10.0,0.0747098118066787,0.1297738626599311,0.2470095008611679,-10.0,4.927058650347719,2.4381420788564454,0.0069020081355437
